player_id,position,season,fantasy_pts,fantasy_pts_low_raw,fantasy_pts_low,fantasy_pts_high,fantasy_low_floor_applied,pg_attempts,pg_carries,pg_completions,pg_interceptions,pg_passing_tds,pg_passing_yards,pg_receiving_tds,pg_receiving_yards,pg_receptions,pg_rushing_tds,pg_rushing_yards,pg_targets,any_stat_low_n_flag,any_receiving_share_capped,any_receiving_share_normalized,display_name,team,source,low_confidence,rookie_tier,team_changed,roster_status,depth_rank,role,depth_chart_status,projected_games,projected_games_raw,role_discount_factor,role_discount_applied,nfl_depth_rank,projected_volume_games,athletic_tier,target_depth_rank,rookie_depth_band,rookie_vacancy_scale,rookie_id_unresolved,rookie_availability_cell_n,rookie_availability_fallback_used,team_pass_attempts_pg_pred,team_passing_yards_pg_pred,team_carries_pg_pred,team_rushing_yards_pg_pred,team_anchor_source_season,team_anchor_lag_team,team_anchor_provenance,fantasy_pts_season,fantasy_pts_season_low,fantasy_pts_season_high
00-0036389,QB,2026,16.656530033158596,7.865002232311141,7.865002232311141,26.75745985268806,False,29.88252427747363,4.309725888921528,18.471903211812517,0.6363967636641609,1.3269388372794115,210.5776156329901,,,,0.3757540566584442,19.43939246099003,,False,False,False,Jalen Hurts,PHI,veteran_model,False,,False,ACT,1.0,starter,curated,14.624656145227398,14.624656145227398,1.0,False,1.0,14.624656145227398,,,,,,,,32.80438240429993,217.87396873427076,27.510207278943774,118.95507060419129,2025.0,PHI,canonical_source_team_frame,243.5960243075976,115.02295322899633,391.31864966528985
00-0026498,QB,2026,16.485435441024862,8.910735991000667,8.910735991000667,26.586365260554327,False,36.13910781437401,2.0064633369997167,25.1043168483212,0.8063777559476032,1.6598403582446333,265.3502771063709,,,,0.06111693436288015,4.781168295094186,,False,False,False,Matthew Stafford,LA,veteran_model,False,,False,ACT,1.0,starter,curated,13.559418370926062,13.559418370926062,1.0,False,1.0,13.559418370926062,,,,,,,,34.82389907724694,249.40392878109913,26.591959033295254,121.3859631065696,2025.0,LA,canonical_source_team_frame,223.5329161717481,120.82439729484649,360.4956495301108
00-0039163,QB,2026,15.704501242212743,7.061909966994065,7.061909966994065,25.805431061742212,False,30.03139472766518,3.1030564389822497,18.584556745896133,0.6906993644401557,1.515709502133016,221.76204901389954,,,,0.14301863583836513,12.944681869748182,,False,False,False,C.J. Stroud,HOU,veteran_model,False,,False,ACT,1.0,starter,curated,13.784791211476522,13.784791211476522,1.0,False,1.0,13.784791211476522,,,,,,,,34.321125448974,230.7196594149492,27.0161290584345,113.89625214465637,2025.0,HOU,canonical_source_team_frame,216.48327070427635,97.34695444925825,355.7224793082673
00-0039918,QB,2026,15.660053379075544,7.111116558646861,7.111116558646861,25.76098319860501,False,28.480234965641902,3.93038776895004,18.320994522443968,0.5428230129980227,1.4860087732126763,203.08558089039767,,,,0.12740956004003284,19.137837163647816,,False,False,False,Caleb Williams,CHI,veteran_model,False,,False,ACT,1.0,starter,curated,14.65351556232956,14.65351556232956,1.0,False,1.0,14.65351556232956,,,,,,,,33.73805380586444,231.60768553241846,27.696271758130365,127.85601286134171,2025.0,CHI,canonical_source_team_frame,229.47483589719508,104.2028571576712,377.48896820166885
00-0039040,RB,2026,15.420195398248794,10.829200149480744,10.829200149480744,21.828301531506213,False,,15.24483644074332,,,,,0.19196410185216234,30.384598573901002,3.697912719627713,0.40393842498556937,69.57364020018446,4.744591510858573,False,False,False,De'Von Achane,MIA,veteran_model,False,,False,ACT,1.0,starter,curated,15.866188966678283,15.866188966678283,1.0,False,1.0,15.866188966678283,,,,,,,,32.35681053457549,214.6121451327766,26.7390775924456,118.26868781082811,2025.0,MIA,canonical_source_team_frame,244.65973409171824,171.8181359296422,346.33195692051055
00-0034855,QB,2026,15.345714840178225,6.55418703933077,6.55418703933077,25.446644659707694,False,32.13106494566306,2.7194828708079615,19.78062816756427,0.6767700410317757,1.3047880730165045,225.60847975270698,,,,0.18382305904381085,13.528250858046151,,False,False,False,Baker Mayfield,TB,veteran_model,False,,False,ACT,1.0,starter,curated,14.111791077709055,14.111791077709055,1.0,False,1.0,14.111791077709055,,,,,,,,33.5451456097649,223.7139473344186,27.714856316659535,117.7146256375168,2025.0,TB,canonical_source_team_frame,216.55552176269453,92.4913181832643,359.09773306649583
00-0038542,RB,2026,15.199103361016952,10.608108112248903,10.608108112248903,21.60720949427437,False,,14.936057772277138,,,,,0.19387457263197883,27.40546860228291,3.994663649663118,0.41861158500738205,67.86307730120936,5.197566615483554,False,False,False,Bijan Robinson,ATL,veteran_model,False,,False,ACT,1.0,starter,curated,15.74958098568506,15.74958098568506,1.0,False,1.0,15.74958098568506,,,,,,,,33.103579364958776,223.6760928436624,27.565529595779658,121.0212845239931,2025.0,ATL,canonical_source_team_frame,239.3795092941345,167.07325781876676,340.30449580473737
00-0041027,RB,2026,15.148135870177805,6.74686783176845,6.74686783176845,22.555054878876092,False,,16.128539408517216,,,,,0.1387980851343135,24.79725836328859,3.2652215377994667,0.5022906861419415,71.89266637291682,4.377575657881974,True,False,False,Jeremiyah Love,ARI,rookie_rule,True,drafted,False,,1.0,starter,rookie_path,15.125,15.125,1.0,False,1.0,15.125,above_median,1.0,rank_1,1.0024268349689045,False,8.0,False,,,,,,,,229.1155550364393,102.0463759554978,341.1452050430009
00-0039075,WR,2026,15.07700319943011,12.09689139138243,12.09689139138243,19.185757281517233,False,,,,,,,0.5683172558961207,80.75471540207808,7.183256247691153,,,10.09187284379746,False,False,False,Puka Nacua,LA,veteran_model,False,,False,ACT,2.0,starter,curated,14.813217073136606,14.813217073136606,1.0,False,1.0,14.813217073136606,,,,,,,,34.82389907724694,249.40392878109913,26.591959033295254,121.3859631065696,2025.0,LA,canonical_source_team_frame,223.33892120553332,179.19387809070545,284.202787323626
00-0036264,QB,2026,14.675291662142076,6.353906200058615,6.353906200058615,24.77622148167155,False,28.880428117514636,2.863657806451861,18.360407081073074,0.5768682900174861,1.4691087545706931,204.49888749117827,,,,0.08948433364916253,12.357317223521717,,False,False,False,Jordan Love,GB,veteran_model,False,,False,ACT,1.0,starter,curated,13.954106580460103,13.954106580460103,1.0,False,1.0,13.954106580460103,,,,,,,,32.63743765242263,227.66151029204218,27.533819286041897,118.40278157385839,2025.0,GB,canonical_source_team_frame,204.78058395286803,88.66308431786418,345.7300352163299
