player_id,display_name,preseason_team,preseason_position,preseason_status,season,roster_week,is_rookie,population_source,model_forecast_points,projected_games,projected_volume_games,depth_tier,forecast_component_count,forecast_expected_component_count,forecast_covered,model_points_end_to_end,carry_forward_points,source_games_played,availability_adjusted_points,attempts,carries,completions,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,targets,actual_games_played,actual_row_present,actual_played,actual_points,actual_zero_game_outcome,actual_zero_point_outcome,actual_position_finish,model_position_rank,carry_forward_position_rank,availability_adjusted_position_rank
00-0032434,Brandon Allen,TEN,QB,ACT,2025,1,False,week1_roster_veteran,38.8238712741841,5.898074173532274,17.0,2.0,8.0,8.0,True,38.8238712741841,8.360000000000001,3.0,47.37333333333334,31.0,0.0,17.0,1.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,True,0.8799999999999999,False,False,71.0,47.0,58.0,57.0
00-0032436,Jeff Driskel,LV,QB,DEV,2025,1,False,week1_roster_veteran,1.945066193492695,0.5772003769413403,17.0,5.0,8.0,8.0,True,1.945066193492695,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,87.0,90.0,85.5,85.5
00-0032464,Kalif Raymond,DET,WR,ACT,2025,1,False,week1_roster_veteran,16.407724984649246,12.698256694462358,17.0,4.0,4.0,4.0,True,16.407724984649246,42.0,12.0,59.5,0.0,2.0,0.0,0.0,0.0,0.0,1.0,289.0,24.0,0.0,19.0,30.0,15.0,True,True,48.8,False,False,97.0,163.0,109.0,104.0
00-0032688,Robbie Chosen,SF,WR,DEV,2025,1,False,week1_roster_veteran,5.488179667683006,2.3868585280777026,17.0,5.0,4.0,4.0,True,5.488179667683006,1.0,2.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,5.0,0.0,0.0,9.0,3.0,True,True,7.800000000000001,False,False,175.0,253.0,176.0,169.0
00-0032764,Derrick Henry,BAL,RB,ACT,2025,1,False,week1_roster_veteran,214.02697745066243,12.72033771337513,17.0,1.0,7.0,7.0,True,214.02697745066243,328.90000000000003,17.0,328.90000000000003,1.0,307.0,0.0,0.0,0.0,0.0,0.0,150.0,15.0,16.0,1595.0,21.0,17.0,True,True,278.0,False,False,7.0,6.0,3.0,3.0
00-0032775,Demarcus Robinson,SF,WR,RES,2025,1,False,week1_roster_veteran,43.606849259290996,14.385229145606672,17.0,4.0,4.0,4.0,True,43.606849259290996,108.0,17.0,108.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,276.0,22.0,0.0,6.0,36.0,14.0,True,True,45.2,False,False,99.0,89.0,57.0,72.0
00-0032918,C.J. Ham,MIN,RB,RES,2025,1,False,week1_roster_veteran,,,,,,,False,0.0,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,2.0,5.0,2.0,11.0,True,True,14.6,False,False,96.0,171.0,146.0,146.0
00-0032950,Carson Wentz,MIN,QB,ACT,2025,1,False,week1_roster_veteran,20.057559522922112,1.17129582813584,17.0,5.0,8.0,8.0,True,20.057559522922112,4.72,3.0,26.746666666666666,189.0,11.0,110.0,5.0,6.0,1216.0,0.0,0.0,0.0,0.0,57.0,0.0,5.0,True,True,68.34,False,False,40.0,62.0,61.0,61.0
00-0032951,Laquon Treadwell,IND,WR,DEV,2025,1,False,week1_roster_veteran,6.35410974823554,0.6867450098065642,17.0,4.0,4.0,4.0,True,6.35410974823554,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,True,True,0.0,False,True,254.5,251.0,238.5,238.5
00-0033040,Tyreek Hill,MIA,WR,ACT,2025,1,False,week1_roster_veteran,147.87486424292234,14.124815152749775,17.0,1.0,4.0,4.0,True,147.87486424292234,177.7,17.0,177.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,265.0,21.0,0.0,0.0,29.0,4.0,True,True,43.0,False,False,106.0,26.0,21.0,33.0
00-0033077,Dak Prescott,DAL,QB,ACT,2025,1,False,week1_roster_veteran,237.11730045216555,13.195584096279841,17.0,1.0,8.0,8.0,True,237.11730045216555,118.52000000000001,8.0,251.85500000000002,634.0,53.0,404.0,10.0,30.0,4552.0,0.0,0.0,0.0,2.0,177.0,0.0,17.0,True,True,311.78000000000003,False,False,6.0,13.0,31.0,25.0
00-0033090,Hunter Henry,NE,TE,ACT,2025,1,False,week1_roster_veteran,110.70753686282114,14.095381859351992,17.0,1.0,4.0,4.0,True,110.70753686282114,112.4,16.0,119.42500000000001,0.0,0.0,0.0,0.0,0.0,0.0,7.0,768.0,60.0,0.0,0.0,87.0,17.0,True,True,148.8,False,False,8.0,10.0,13.0,16.0
00-0033106,Jared Goff,DET,QB,ACT,2025,1,False,week1_roster_veteran,216.95049749919667,15.47883298906536,17.0,1.0,8.0,8.0,True,216.95049749919667,321.96,17.0,321.96,616.0,19.0,393.0,8.0,34.0,4564.0,0.0,0.0,0.0,0.0,45.0,0.0,17.0,True,True,307.06,False,False,7.5,18.0,7.0,9.0
00-0033110,Tyler Higbee,LA,TE,ACT,2025,1,False,week1_roster_veteran,57.07212806284444,12.379502351268949,17.0,1.0,4.0,4.0,True,57.07212806284444,22.6,3.0,128.0666666666667,0.0,0.0,0.0,0.0,0.0,0.0,3.0,281.0,25.0,0.0,0.0,36.0,10.0,True,True,58.6,False,False,38.0,33.0,61.0,14.0
00-0033119,Jacoby Brissett,ARI,QB,ACT,2025,1,False,week1_roster_veteran,39.58282649726612,5.152549590831007,17.0,2.0,8.0,8.0,True,39.58282649726612,45.24,8.0,96.135,531.0,38.0,315.0,8.0,23.0,3366.0,0.0,0.0,0.0,1.0,168.0,0.0,14.0,True,True,233.44000000000003,False,False,16.0,45.0,46.0,53.0
00-0033217,Mo Alie-Cox,IND,TE,ACT,2025,1,False,week1_roster_veteran,21.75054166224249,16.19291033584036,17.0,2.0,4.0,4.0,True,21.75054166224249,26.700000000000003,17.0,26.700000000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,117.0,13.0,0.0,0.0,20.0,17.0,True,True,24.200000000000003,False,False,66.0,74.0,54.0,60.0
00-0033246,Johnny Mundt,JAX,TE,ACT,2025,1,False,week1_roster_veteran,30.558082356933213,14.70899472271293,17.0,2.0,4.0,4.0,True,30.558082356933213,35.7,17.0,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,9.0,0.0,0.0,19.0,16.0,True,True,15.600000000000001,False,False,75.0,55.0,47.0,52.0
00-0033280,Christian McCaffrey,SF,RB,ACT,2025,1,False,week1_roster_veteran,195.65409802076542,11.712453725849544,17.0,1.0,7.0,7.0,True,195.65409802076542,42.300000000000004,4.0,179.775,1.0,311.0,0.0,0.0,0.0,0.0,7.0,904.0,102.0,10.0,1202.0,129.0,17.0,True,True,363.6,False,False,1.0,14.0,65.0,29.0
00-0033282,Curtis Samuel,BUF,WR,INA,2025,1,False,week1_roster_veteran,22.288587416574977,10.931327364673969,17.0,4.0,4.0,4.0,True,22.288587416574977,48.2,14.0,58.52857142857143,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81.0,7.0,0.0,0.0,9.0,6.0,True,True,17.6,False,False,147.0,140.0,101.0,105.0
00-0033288,George Kittle,SF,TE,ACT,2025,1,False,week1_roster_veteran,150.49815280565326,13.85946493898328,17.0,1.0,4.0,4.0,True,150.49815280565326,197.60000000000002,15.0,223.94666666666672,0.0,1.0,0.0,0.0,0.0,0.0,7.0,628.0,57.0,0.0,-3.0,69.0,11.0,True,True,133.0,False,False,13.0,2.0,2.0,1.0
00-0033292,Trent Taylor,SF,WR,RES,2025,1,False,week1_roster_veteran,10.505831144323192,2.0253212804519505,17.0,4.0,4.0,4.0,True,10.505831144323192,1.6,2.0,13.600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,254.5,197.0,172.5,160.5
00-0033293,Aaron Jones,MIN,RB,ACT,2025,1,False,week1_roster_veteran,185.30823440678512,15.190340209715005,17.0,1.0,7.0,7.0,True,185.30823440678512,222.10000000000002,17.0,222.10000000000002,0.0,132.0,0.0,0.0,0.0,0.0,1.0,199.0,28.0,2.0,548.0,41.0,12.0,True,True,106.70000000000002,False,False,43.0,19.0,16.0,20.0
00-0033319,Nick Mullens,JAX,QB,ACT,2025,1,False,week1_roster_veteran,38.3843648191629,4.407590535806528,17.0,2.0,8.0,8.0,True,38.3843648191629,1.32,4.0,5.61,3.0,12.0,3.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,-8.0,0.0,5.0,True,True,-0.040000000000000036,False,False,101.0,48.0,63.0,65.0
00-0033357,Taysom Hill,NO,QB,RES,2025,1,False,week1_roster_veteran,83.7889709450202,6.611211580380491,17.0,5.0,8.0,8.0,True,83.7889709450202,92.84,8.0,197.285,6.0,52.0,2.0,0.0,1.0,57.0,0.0,91.0,11.0,1.0,114.0,16.0,13.0,True,True,38.28,False,False,48.0,33.0,38.0,39.0
00-0033375,Tim Patrick,JAX,WR,ACT,2025,1,False,week1_roster_veteran,31.751518712931787,13.784376935890247,17.0,3.0,4.0,4.0,True,31.751518712931787,73.9,16.0,78.51875000000001,0.0,0.0,0.0,0.0,0.0,0.0,3.0,187.0,15.0,0.0,0.0,24.0,16.0,True,True,44.2,False,False,100.5,110.0,83.0,93.0
00-0033376,Patrick Ricard,BAL,RB,INA,2025,1,False,week1_roster_veteran,,,,,,,False,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,3.0,2.0,11.0,True,True,1.6,False,False,130.0,171.0,146.0,146.0
00-0033526,Samaje Perine,CIN,RB,ACT,2025,1,False,week1_roster_veteran,79.4075283880839,13.320136501091557,17.0,2.0,7.0,7.0,True,79.4075283880839,67.4,17.0,67.4,0.0,84.0,0.0,0.0,0.0,0.0,0.0,87.0,17.0,3.0,382.0,21.0,15.0,True,True,73.4,False,False,56.0,57.0,51.0,65.0
00-0033536,Mike Williams,LAC,WR,RES,2025,1,False,week1_roster_veteran,37.366711131724536,3.886231662022975,17.0,5.0,4.0,4.0,True,37.366711131724536,46.3,18.0,43.727777777777774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,254.5,101.0,103.0,121.0
00-0033537,Deshaun Watson,CLE,QB,RES,2025,1,False,week1_roster_veteran,29.83771298764115,1.0799440449541844,17.0,4.0,8.0,8.0,True,29.83771298764115,80.72,7.0,196.03428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,87.0,51.0,40.0,40.0
00-0033553,James Conner,ARI,RB,ACT,2025,1,False,week1_roster_veteran,179.62951209785535,13.951223882837112,17.0,1.0,7.0,7.0,True,179.62951209785535,228.3,16.0,242.56875000000002,0.0,32.0,0.0,0.0,0.0,0.0,1.0,38.0,8.0,1.0,95.0,9.0,3.0,True,True,29.3,False,False,78.0,21.0,11.0,15.0
00-0033555,Mack Hollins,NE,WR,ACT,2025,1,False,week1_roster_veteran,35.80771552201532,14.081603383883348,17.0,3.0,4.0,4.0,True,35.80771552201532,83.30000000000001,17.0,83.30000000000001,0.0,1.0,0.0,0.0,0.0,0.0,2.0,550.0,46.0,0.0,4.0,65.0,15.0,True,True,90.4,False,False,57.0,103.0,77.0,91.0
