player_id,display_name,preseason_team,preseason_position,preseason_status,season,roster_week,is_rookie,population_source,model_forecast_points,model_rate_points,projected_games,projected_volume_games,depth_tier,forecast_component_count,forecast_expected_component_count,forecast_covered,model_points_end_to_end,carry_forward_points,source_games_played,availability_adjusted_points,attempts,carries,completions,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,targets,actual_games_played,actual_row_present,actual_played,actual_points,actual_zero_game_outcome,actual_zero_point_outcome,actual_rate_points,actual_position_finish,model_position_rank,carry_forward_position_rank,availability_adjusted_position_rank
00-0036810,Cade Johnson,SEA,WR,DEV,2023,1,False,week1_roster_veteran,0.23236009744671743,0.015054547969998533,1.2365018514681614,17.0,5.0,4.0,4.0,True,0.23236009744671743,3.1,3.0,17.56666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,0.0,254.0,267.0,164.5,150.0
00-0036825,Feleipe Franks,ATL,TE,RES,2023,1,False,week1_roster_veteran,27.812052733503073,1.9772531699778355,3.644011988553873,17.0,5.0,4.0,4.0,True,27.812052733503073,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,True,True,0.0,140.5,75.0,134.5,134.5
00-0036841,Austin Trammell,LA,WR,DEV,2023,1,False,week1_roster_veteran,6.639782853570324,0.42156002113557245,2.406388382470273,17.0,5.0,4.0,4.0,True,6.639782853570324,2.3,6.0,6.516666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,4.0,0.0,0.0,7.0,13.0,True,True,4.9,False,False,0.37692307692307697,184.0,224.0,172.5,172.0
00-0036842,Kene Nwangwu,MIN,RB,RES,2023,1,False,week1_roster_veteran,26.405454743918916,1.5817975627396432,1.7469000908624497,17.0,5.0,7.0,7.0,True,26.405454743918916,4.5,3.0,25.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0,True,True,1.3,False,False,0.43333333333333335,122.0,102.0,109.0,98.0
00-0036849,Tutu Atwell,LA,WR,ACT,2023,1,False,week1_roster_veteran,65.04593492382247,4.1072060889347055,15.822258326201565,17.0,1.0,4.0,4.0,True,65.04593492382247,54.2,13.0,70.87692307692308,0.0,5.0,0.0,0.0,0.0,0.0,3.0,483.0,39.0,0.0,31.0,67.0,16.0,True,True,88.9,False,False,5.55625,64.0,84.0,99.5,99.0
00-0036857,Chris Evans,CIN,RB,ACT,2023,1,False,week1_roster_veteran,17.962377688544112,1.115851625323258,5.451220962755669,17.0,3.0,7.0,7.0,True,17.962377688544112,11.3,8.0,24.012500000000003,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,12.0,1.0,7.0,True,True,1.6,False,False,0.2285714285714286,121.0,126.0,90.0,103.0
00-0036860,Jake Funk,IND,RB,ACT,2023,1,False,week1_roster_veteran,19.34526560830384,1.1688773879447847,0.40221327891476677,17.0,5.0,7.0,7.0,True,19.34526560830384,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,10.0,1.0,1.0,True,True,2.7,False,False,2.7,115.0,119.0,148.5,148.5
00-0036862,Ben Skowronek,LA,WR,ACT,2023,1,False,week1_roster_veteran,61.343742185851276,3.8925383749962044,15.74321385795951,17.0,1.0,4.0,4.0,True,61.343742185851276,64.80000000000001,14.0,78.6857142857143,0.0,2.0,0.0,0.0,0.0,0.0,1.0,66.0,8.0,0.0,9.0,12.0,17.0,True,True,17.5,False,False,1.0294117647058822,154.0,89.0,90.0,94.0
00-0036875,Rhamondre Stevenson,NE,RB,ACT,2023,1,False,week1_roster_veteran,203.00836093204916,11.97685118447557,16.693231777450208,17.0,1.0,7.0,7.0,True,203.00836093204916,216.6,17.0,216.6,0.0,156.0,0.0,0.0,0.0,0.0,0.0,238.0,38.0,4.0,619.0,51.0,12.0,True,True,128.7,False,False,10.725,34.0,10.0,11.0,15.0
00-0036876,Kylen Granson,IND,TE,ACT,2023,1,False,week1_roster_veteran,67.1696141368571,4.2448804771153945,13.373939579527912,17.0,1.0,4.0,4.0,True,67.1696141368571,45.7,13.0,59.76153846153847,0.0,1.0,0.0,0.0,0.0,0.0,1.0,368.0,30.0,0.0,2.0,50.0,15.0,True,True,58.00000000000001,False,False,3.866666666666667,31.0,25.0,42.5,39.0
