player_id,display_name,position,team,fantasy_pts,fantasy_pts_low,fantasy_pts_high,projected_games,fantasy_pts_season,source,low_confidence,role,depth_chart_status,depth_rank,season,team_identity_scale
00-0041510,Max Klare,TE,LA,2.051450655577008,1.2543050576239954,7.524960168671965,15.0,29.572237810147744,rookie_rule,True,depth,listed,4.0,2026,0.9610187382849827
00-0041311,Jalen Walthall,WR,NYJ,2.049117710733791,1.3776296546255162,9.899325087923025,15.0,29.05847999926272,rookie_rule,True,,,,2026,0.9453981046589673
00-0037746,Brian Robinson,RB,ATL,2.04286832517826,0.0562698648065839,9.47511253171372,15.45,31.235853267334026,v2_team_first,False,backup,listed,2.0,2026,0.989656577782214
00-0041158,Donaven McCulley,WR,MIA,2.0363461304810966,1.3349848430378786,9.88655350767033,15.0,28.65590748494287,rookie_rule,True,depth,listed,12.0,2026,0.9381478932946359
00-0039884,Tahj Washington,WR,MIA,2.0294628414939377,0.4909023574727704,9.879670218683172,10.12,19.267844267729778,v2_team_first,True,depth,listed,9.0,2026,0.938148332493821
00-0036534,Shane Zylstra,TE,BUF,2.0232948917406666,0.3529721196167653,7.496804404835623,8.1,15.587446009305255,v2_team_first,True,depth,listed,4.0,2026,0.9511100227589403
00-0041041,Oscar Delp,TE,NO,2.021491888024816,1.3891292819894714,7.495001401119772,15.0,28.371998065501327,rookie_rule,True,depth,listed,3.0,2026,0.9356785198619944
00-0041069,Colbie Young,WR,CIN,2.020894943824852,1.1246032511446302,9.871102321014083,15.0,28.33087615192927,rookie_rule,True,depth,listed,4.0,2026,0.934598348403299
00-0041185,Vinny Anthony,WR,ATL,2.019184228670098,1.5122029259967806,9.869391605859333,15.0,28.35378747068035,rookie_rule,True,depth,listed,7.0,2026,0.936146623574977
00-0033307,Kendrick Bourne,WR,ARI,2.016803097905921,0.2971905077858347,9.867010475095157,13.9,26.23761763128784,v2_team_first,True,depth,listed,3.0,2026,0.935935884221943
00-0038976,Marvin Mims Jr.,WR,DEN,2.0028533844972496,0.3117204417855935,9.853060761686484,15.35,29.52865684602188,v2_team_first,False,depth,listed,4.0,2026,0.9604751973513619
00-0040945,R.J. Maryland,TE,GB,1.965688956773278,1.5610066774466826,7.439198469868234,15.0,27.745832102809764,rookie_rule,True,,,,2026,0.9410044930117923
00-0041222,Gabriel Benyard,WR,BUF,1.960678248013536,1.022662151254901,9.81088562520277,15.0,27.973180591977282,rookie_rule,True,,,,2026,0.9511395906091289
00-0035631,Drew Sample,TE,CIN,1.9565139179145288,0.325676296784038,7.430023431009485,13.45,24.593735525462577,v2_team_first,True,backup,listed,2.0,2026,0.9345860029906036
00-0036628,John Bates,TE,WAS,1.948046927504557,0.4229551781174826,7.421556440599514,13.2,24.12145424619817,v2_team_first,True,backup,listed,2.0,2026,0.938058971597839
00-0037563,Malik Davis,RB,DAL,1.9375091676799097,0.0714525171268893,9.36975337421537,10.55,20.217620326695595,v2_team_first,True,depth,listed,4.0,2026,0.9890854444674609
00-0038621,DeMario Douglas,WR,NE,1.923852370078729,0.25406872741076,9.774059747267962,15.4,28.036363717271957,v2_team_first,False,depth,listed,3.0,2026,0.9463008320381943
00-0039041,Elijah Higgins,TE,ARI,1.9156768687879293,0.3134618780167499,7.389186381882886,15.4,27.611005678762197,v2_team_first,False,depth,listed,3.0,2026,0.9359211231731751
00-0041077,Justin Joly,TE,DEN,1.913636222895587,1.421179693141876,7.387145735990543,15.0,27.567682155580933,rookie_rule,True,depth,listed,3.0,2026,0.9603943816750204
00-0040876,Elijah Sarratt,WR,BAL,1.9015592491142284,1.1086421570258915,9.751766626303462,15.0,26.71773165491217,rookie_rule,True,depth,listed,5.0,2026,0.9366955624218264
00-0041051,Zavion Thomas,WR,CHI,1.8919607089227009,1.089995385444667,9.742168086111937,15.0,27.342510695341332,rookie_rule,True,depth,listed,5.0,2026,0.9634629502396097
