player_id,position,season,fantasy_pts,fantasy_pts_low_raw,fantasy_pts_low,fantasy_pts_high,fantasy_low_floor_applied,pg_attempts,pg_carries,pg_completions,pg_interceptions,pg_passing_tds,pg_passing_yards,pg_receiving_tds,pg_receiving_yards,pg_receptions,pg_rushing_tds,pg_rushing_yards,pg_targets,any_stat_low_n_flag,any_stat_constraint_applied,any_receiving_share_capped,any_receiving_share_normalized,display_name,team,source,low_confidence,rookie_tier,team_changed,roster_status,depth_rank,role,formation_role,depth_chart_status,projected_games,projected_games_raw,projection_run_id,composition_version,concentration_scale,concentration_calibration_version,role_discount_factor,role_discount_applied,nfl_depth_rank,projected_volume_games,athletic_tier,target_depth_rank,rookie_depth_band,rookie_vacancy_scale,rookie_id_unresolved,rookie_availability_cell_n,rookie_availability_fallback_used,team_pass_attempts_pg_pred,team_passing_yards_pg_pred,team_carries_pg_pred,team_rushing_yards_pg_pred,team_anchor_source_season,team_anchor_lag_team,team_anchor_provenance,td_rate_clip_applied,sentiment_score,sentiment_feature,sentiment_confidence,sentiment_coverage,sentiment_as_of,sentiment_claim_count,sentiment_source_count,sentiment_model_active,sentiment_version,fantasy_pts_season,fantasy_pts_season_low,fantasy_pts_season_high,incumbent_pred,accuracy_ensemble_pred,accuracy_ensemble_applied,accuracy_ensemble_arm,adp,adp_points,v2_pred,v3_p50,accuracy_ensemble_points_before
00-0036389,QB,2026,18.170378769776736,4.883281418356224,4.883281418356224,22.02293361960465,False,25.081630356605963,5.331816853470477,15.530015887973777,0.4882332494881032,1.1097592764728756,171.91080716781892,,,,0.4395578146301786,26.649502530172263,,False,False,False,False,Jalen Hurts,PHI,veteran_model,False,,False,ACT,1.0,starter,,curated,17.0,14.624656145227398,0b8c9cb1-e3ed-4936-88ef-94b51df10e96,healthy17_qbroom_concentration_v1,1.0,not_applicable,1.0,False,1.0,17.0,,,,,,,,32.806418334792035,217.8630465484892,27.532262539569395,119.01828343531058,2025.0,PHI,canonical_source_team_frame,False,67.0,0.7556759734845743,0.8333333333333333,high,2026-08-26,1,2,False,markdown_market_v1,308.8964390862045,108.23750167369212,374.269142483537,308.8964390862045,308.8964390862045,False,incumbent,79.4,241.0777777777778,328.16226363753816,300.5043552487002,279.997702259204
00-0041027,RB,2026,11.570558039960524,5.457907334766606,5.457907334766606,24.643573559958615,False,,11.110008220459637,,,,,0.1759901689712546,31.846242065312705,4.101115369161655,0.6396104568661202,51.40826571910556,5.380573502559125,True,False,False,False,Jeremiyah Love,ARI,rookie_rule,True,drafted,False,,1.0,starter,,rookie_path,17.0,15.125,0b8c9cb1-e3ed-4936-88ef-94b51df10e96,healthy17_qbroom_concentration_v1,1.0,concentration_v1_full_board,1.0,False,1.0,17.0,above_median,1.0,rank_1,1.0024268349689045,False,8.0,False,36.21537296296883,240.75211132429325,24.991541448852136,107.82682362857648,2025.0,ARI,canonical_source_team_frame,False,-4.0,-0.1756759254197348,0.8333333333333333,high,2026-08-26,1,2,False,markdown_market_v1,196.6994866793289,90.87705534094268,403.984283872332,251.39670918369328,196.6994866793289,True,market_no_v3,29.4,192.19666666666666,187.4727192031987,347.0006757322004,251.39670918369328
00-0038542,RB,2026,16.329013577749446,8.146119596027203,8.146119596027203,22.073209797249824,False,,13.782719950379944,,,,,0.2063491341387716,25.734478974360137,3.8547405287802303,0.4607639107233274,67.28501311727045,4.678392058804827,False,False,False,False,Bijan Robinson,ATL,veteran_model,False,,False,ACT,1.0,starter,,curated,17.0,14.856808487964193,0b8c9cb1-e3ed-4936-88ef-94b51df10e96,healthy17_qbroom_concentration_v1,1.0,concentration_v1_full_board,1.0,False,1.0,17.0,,,,,,,,33.11019223657139,223.68381617318363,27.583501535610957,121.08084842723764,2025.0,ATL,canonical_source_team_frame,False,76.0,1.0378272551729724,0.8333333333333333,high,2026-08-26,1,2,False,markdown_market_v1,277.5932308217406,134.78739769772255,368.427838865496,253.84261078074,277.5932308217406,True,market_no_v3,2.3,247.70840579710145,345.27975421801904,319.48930376141675,253.84261078074
00-0033119,QB,2026,16.762616235002156,5.065301987387348,5.065301987387348,21.072953309511885,False,29.118114876542915,2.2700206264855733,18.87628166659472,0.5719387030849435,1.5298364149071433,214.74513070961464,,,,0.0879750692294812,9.296578359531852,,False,False,False,False,Jacoby Brissett,ARI,veteran_model,False,,False,ACT,1.0,starter,,curated,17.0,13.779722233164795,0b8c9cb1-e3ed-4936-88ef-94b51df10e96,healthy17_qbroom_concentration_v1,1.0,not_applicable,1.0,False,1.0,17.0,,,,,,,,36.21537296296883,240.75211132429325,24.991541448852136,107.82682362857648,2025.0,ARI,canonical_source_team_frame,False,40.0,0.3723011572821902,0.75,medium,2026-08-26,1,1,False,markdown_market_v1,284.96447599503665,114.20909216963068,363.5004869171715,284.96447599503665,284.96447599503665,False,incumbent,,,291.69849864009103,283.93612470810723,274.863442027455
00-0033280,RB,2026,14.176930300615588,8.413500937173104,8.413500937173104,21.34907654723504,False,,14.385870407003951,,,,,0.1790138162652156,30.78208518370598,3.892410696222033,0.4940017099204954,58.8737064183728,5.068153505807363,False,False,False,False,Christian McCaffrey,SF,veteran_model,False,,False,ACT,1.0,starter,,curated,17.0,14.846373384486371,0b8c9cb1-e3ed-4936-88ef-94b51df10e96,healthy17_qbroom_concentration_v1,1.0,concentration_v1_full_board,1.0,False,1.0,17.0,,,,,,,,34.25083482490253,240.1256936965456,26.958300492590134,112.8835201485632,2025.0,SF,canonical_source_team_frame,False,38.0,0.4399648919159852,0.7466666666666666,high,2026-08-26,1,2,False,markdown_market_v1,241.007815110465,144.77035836177646,366.7290876400074,256.82341891178726,241.007815110465,True,market_no_v3,6.6,247.70840579710145,222.3347658034181,303.09308617829845,256.82341891178726
00-0035710,QB,2026,16.02561679883558,4.463276132125252,4.463276132125252,20.997815639915817,False,24.13252564323646,3.58124640600642,16.407122442206052,0.5987211062014532,1.3770438119525028,182.78476541107676,,,,0.3168451004604231,11.89302501873282,,False,False,False,False,Daniel Jones,IND,veteran_model,False,,False,ACT,1.0,starter,,curated,17.0,12.295582765638772,0b8c9cb1-e3ed-4936-88ef-94b51df10e96,healthy17_qbroom_concentration_v1,1.0,not_applicable,1.0,False,1.0,17.0,,,,,,,,33.82190844602341,234.02468664293764,26.51465853299865,117.43030699843813,2025.0,IND,canonical_source_team_frame,False,46.0,0.3993570100484841,0.7466666666666666,high,2026-08-26,1,2,False,markdown_market_v1,272.43548558020484,80.99365992011059,290.533574909529,272.43548558020484,272.43548558020484,False,incumbent,167.2,123.05333333333333,310.22382040267007,294.6831664685682,215.75298334650697
00-0033106,QB,2026,17.160896027828745,5.485240730520856,5.485240730520856,20.42444272153277,False,30.29022659889425,1.4196505838983542,19.491649839411966,0.5874455222458593,1.5994174846338385,222.85537558177293,,,,0.0299414120842387,2.894058423616088,,False,False,False,False,Jared Goff,DET,veteran_model,False,,False,ACT,1.0,starter,,curated,17.0,15.174676628525294,0b8c9cb1-e3ed-4936-88ef-94b51df10e96,healthy17_qbroom_concentration_v1,1.0,not_applicable,1.0,False,1.0,17.0,,,,,,,,33.93703078284322,246.2148467705308,26.80245988676499,118.24421493778569,2025.0,DET,canonical_source_team_frame,False,-85.0,-1.5893421204645246,0.7466666666666666,high,2026-08-26,1,2,False,markdown_market_v1,291.7352324730887,115.95461885334169,341.7836688189235,291.7352324730887,291.7352324730887,False,incumbent,101.0,231.14818181818188,313.5255963249551,261.6703120670238,259.04968669528904
00-0039040,RB,2026,14.281230603624195,7.830606305995605,7.830606305995605,20.97021736699629,False,,12.24860061029758,,,,,0.1926480648695759,28.18966078557801,3.972721958775952,0.4075616457519007,60.80087378304184,4.555422318378727,False,False,False,False,De'Von Achane,MIA,veteran_model,False,,False,ACT,1.0,starter,,curated,17.0,15.40255216437147,0b8c9cb1-e3ed-4936-88ef-94b51df10e96,healthy17_qbroom_concentration_v1,1.0,concentration_v1_full_board,1.0,False,1.0,17.0,,,,,,,,32.36223621091209,214.6126867270503,26.74474106089619,118.31799054444193,2025.0,MIA,canonical_source_team_frame,False,14.0,0.1801124657338881,0.7466666666666666,high,2026-08-26,1,2,False,markdown_market_v1,242.78092026161133,126.88640056303268,344.1366862587472,237.2314969434624,242.78092026161133,True,market_no_v3,11.7,247.70840579710145,234.7757569633474,359.5767878240911,237.2314969434624
00-0038543,WR,2026,13.705814250012551,11.672896902905446,11.672896902905446,17.96261971497384,False,,,,,,,0.5218810408392826,80.19031290041046,6.63646907468906,,,9.503634827446792,False,False,False,False,Jaxon Smith-Njigba,SEA,veteran_model,False,,False,ACT,1.0,starter,LWR,curated,17.0,15.276008257434786,0b8c9cb1-e3ed-4936-88ef-94b51df10e96,healthy17_qbroom_concentration_v1,1.0,not_applicable,1.0,False,1.0,17.0,,,,,,,,32.23055547607071,233.1588091163081,27.961458857752422,119.77956467483948,2025.0,SEA,canonical_source_team_frame,False,70.0,0.9941503089363964,0.8333333333333333,high,2026-08-26,1,2,False,markdown_market_v1,232.9988422502134,197.22249848928016,305.11677636422155,244.7912348433606,232.9988422502134,True,market_no_v3,5.2,230.565,234.99016772766072,289.4025005537011,244.7912348433606
00-0035228,QB,2026,17.696247083266698,3.686227354232203,3.686227354232203,20.514721497040597,False,28.75250474365632,4.5899916738167175,17.266847948731787,0.4666215304345967,0.9558213864291732,183.6858953109654,,,,0.2350828737127637,25.804623968777904,,False,False,False,False,Kyler Murray,MIN,veteran_model,False,,True,ACT,1.0,starter,,curated,17.0,12.19517465234694,0b8c9cb1-e3ed-4936-88ef-94b51df10e96,healthy17_qbroom_concentration_v1,1.0,not_applicable,1.0,False,1.0,17.0,,,,,,,,33.31986938890707,212.12724988326613,25.99228043038729,113.38707277968209,2025.0,MIN,canonical_source_team_frame,False,91.0,1.1111601686540873,0.8333333333333333,high,2026-08-26,2,2,False,markdown_market_v1,300.8362004155339,82.45661830322551,333.4227685725355,300.8362004155339,300.8362004155339,False,incumbent,137.4,205.38666666666668,338.96948343642924,245.8296050139308,243.6362758841909
