position,stat,n_test,model_mae,naive_mae,model_wins,test_season,n_train_transitions,baseline_prior_year_mae,baseline_weighted_3y_mae,baseline_team_share_volume_mae,baseline_ridge_mae,baseline_elastic_net_mae,baseline_empirical_bayes_mae,model_mae_uncapped
RB,targets,114,0.6591075650460891,0.665145058043665,True,2025,3,0.665145058043665,0.7042905008961451,1.2816518334320193,0.6122448148080148,0.6058806659176971,0.9787627339587246,
RB,receptions,114,0.5229469682082848,0.5338592708174752,True,2025,3,0.5338592708174752,0.5648799007106932,1.0055594273860529,0.48969465590536165,0.48002518094449353,0.7699913793387015,
RB,receiving_yards,114,4.425705947198729,4.521898558527815,True,2025,3,4.521898558527815,7.3350528916407765,7.365517555629784,4.191928390968681,4.108916575557714,6.276288672494926,4.425705947198729
RB,receiving_tds,114,0.044542997587994,0.04331388425815671,False,2025,3,0.04331388425815671,0.04094708074514442,0.04331388425815671,0.042992312283831276,0.04213172768432675,0.05143183218231933,
WR,targets,198,1.0366927272715478,1.0742599889547304,True,2025,3,1.0742599889547304,1.2086466310016848,2.73158353249708,0.9427097125957256,0.8999256805782607,1.8118905813113795,
WR,receptions,198,0.7324489493939925,0.7516532664371345,True,2025,3,0.7516532664371345,0.8374749815396226,1.710183944430825,0.6717346184092993,0.6492502127230779,1.1903264543291503,
WR,receiving_yards,198,9.077602851159106,9.79689108219634,True,2025,3,9.79689108219634,21.610491986677307,21.71592609748804,8.74418219589502,8.535053622467244,15.289670964508026,9.077602851159106
WR,receiving_tds,198,0.08171425581017379,0.10920364089927372,True,2025,3,0.10920364089927372,0.10457166833259349,0.10920364089927372,0.08225180661904555,0.08098852350482805,0.1309437307470529,
TE,targets,116,0.6873901830783093,0.7704164377148657,True,2025,3,0.7704164377148657,0.8281004536610823,1.8329166804572483,0.6877648648332088,0.6812449851053882,1.2295720387915485,
TE,receptions,116,0.5517257409510232,0.6100110497739809,True,2025,3,0.6100110497739809,0.6297250414732735,1.32895235610119,0.5394628987926382,0.5413582949007532,0.9252222785138564,
TE,receiving_yards,116,5.971326991066521,6.501519638379426,True,2025,3,6.501519638379426,13.345127892706936,13.405340747544093,6.094054026725888,6.072969523482173,10.111810737376786,5.971326991066521
TE,receiving_tds,116,0.08018254922097404,0.08764344175094682,True,2025,3,0.08764344175094682,0.07750942559465154,0.08764344175094682,0.07079388353050525,0.07186434951947233,0.09639087915997949,
