player_id,team,position,team_changed,roster_status,projected_games,projected_games_raw,nfl_depth_rank,status_override_applied,stat,source,low_confidence,pred_pg,pred_pg_low,pred_pg_high,interval_low_n_flag,team_passing_yards_pg_pred,team_pass_attempts_pg_pred,team_carries_pg_pred,team_rushing_yards_pg_pred,team_anchor_source_season,team_anchor_lag_team,team_anchor_provenance,depth_rank,role,formation_role,depth_chart_status,role_discount_factor,role_discount_applied,season,receiving_share_capped,receiving_share_normalized,elite_correction_pg,rookie_tier,athletic_tier,target_depth_rank,rookie_depth_band,rookie_vacancy_scale,rookie_availability_cell_n,rookie_availability_fallback_used,rookie_id_unresolved,replacement_cell_thin,projected_volume_games,pred_season,pred_season_low,pred_season_high,display_name
00-0039577,ARI,QB,False,ACT,0.6186026500124635,0.6186026500124635,4.0,False,passing_tds,veteran_model,True,0.0965842664116761,0.0,0.8208921198509205,False,240.76907152016224,36.21396386313722,24.98965667674017,107.79270996792926,2025.0,ARI,canonical_source_team_frame,,deep_bench,,deep_bench_discounted,0.84,True,2026,,,,,,,,,,,,,0.6186026500124635,0.06023917953044131,0.0,0.5119867823197147,Kedon Slovis
00-0039577,ARI,QB,False,ACT,0.6186026500124635,0.6186026500124635,4.0,False,passing_yards,veteran_model,True,30.59286648019404,0.0,123.36338149847673,False,240.76907152016224,36.21396386313722,24.98965667674017,107.79270996792926,2025.0,ARI,canonical_source_team_frame,,deep_bench,,deep_bench_discounted,0.84,True,2026,,,,,,,,,,,,,0.6186026500124635,17.636659505908895,0.0,71.11847320337715,Kedon Slovis
00-0039577,ARI,QB,False,ACT,0.6186026500124635,0.6186026500124635,4.0,False,rushing_tds,veteran_model,True,0.0593346773582631,0.0,0.2814784811647715,False,240.76907152016224,36.21396386313722,24.98965667674017,107.79270996792926,2025.0,ARI,canonical_source_team_frame,,deep_bench,,deep_bench_discounted,0.84,True,2026,,,,,,,,,,,,,0.6186026500124635,0.0367045886514561,0.0,0.1741233343700109,Kedon Slovis
00-0039577,ARI,QB,False,ACT,0.6186026500124635,0.6186026500124635,4.0,False,rushing_yards,veteran_model,True,6.658905801913962,0.0,17.910304410801167,False,240.76907152016224,36.21396386313722,24.98965667674017,107.79270996792926,2025.0,ARI,canonical_source_team_frame,,deep_bench,,deep_bench_discounted,0.84,True,2026,,,,,,,,,,,,,0.6186026500124635,4.119216775247345,0.0,11.079361771051516,Kedon Slovis
00-0041561,ARI,QB,False,,4.461538461538462,4.461538461538462,3.0,False,attempts,rookie_rule,True,17.19849851507948,3.8862602317699375,25.555833606580595,True,,,,,,,,,deep_bench,,deep_bench_discounted,1.0,False,2026,,,,drafted,no_data,,off_chart,0.8012907694371005,13.0,False,False,,4.461538461538462,71.58688885671728,16.176137645740827,106.37339174876166,Carson Beck
00-0041561,ARI,QB,False,,4.461538461538462,4.461538461538462,3.0,False,carries,rookie_rule,True,2.394384274919171,0.8725166156092873,3.814144062520599,True,,,,,,,,,deep_bench,,deep_bench_discounted,1.0,False,2026,,,,drafted,no_data,,off_chart,0.8012907694371005,13.0,False,False,,4.461538461538462,10.682637534254765,3.8927664388722047,17.01695043278421,Carson Beck
00-0041561,ARI,QB,False,,4.461538461538462,4.461538461538462,3.0,False,completions,rookie_rule,True,10.217127795051296,2.2035496159520265,16.069522157984032,True,,,,,,,,,deep_bench,,deep_bench_discounted,1.0,False,2026,,,,drafted,no_data,,off_chart,0.8012907694371005,13.0,False,False,,4.461538461538462,42.91065820116013,9.25463264198511,67.48998217593106,Carson Beck
00-0041561,ARI,QB,False,,4.461538461538462,4.461538461538462,3.0,False,interceptions,rookie_rule,True,0.4138307937667468,0.0,0.979864140911654,True,,,,,,,,,deep_bench,,deep_bench_discounted,1.0,False,2026,,,,drafted,no_data,,off_chart,0.8012907694371005,13.0,False,False,,4.461538461538462,1.846322002959332,0.0,4.371701551759688,Carson Beck
00-0041561,ARI,QB,False,,4.461538461538462,4.461538461538462,3.0,False,passing_tds,rookie_rule,True,0.4273645643253178,0.0,0.8831008759670422,True,,,,,,,,,deep_bench,,deep_bench_discounted,1.0,False,2026,,,,drafted,no_data,,off_chart,0.8012907694371005,13.0,False,False,,4.461538461538462,1.9224012344136914,0.0,3.972426250994814,Carson Beck
00-0041561,ARI,QB,False,,4.461538461538462,4.461538461538462,3.0,False,passing_yards,rookie_rule,True,107.12500560752255,13.461684926543294,163.99868486386936,True,,,,,,,,,deep_bench,,deep_bench_discounted,1.0,False,2026,,,,drafted,no_data,,off_chart,0.8012907694371005,13.0,False,False,,4.461538461538462,445.40991667060933,55.971693325695355,681.8822565753602,Carson Beck
00-0041561,ARI,QB,False,,4.461538461538462,4.461538461538462,3.0,False,rushing_tds,rookie_rule,True,0.0963726553361711,0.0,0.2670969231457001,True,,,,,,,,,deep_bench,,deep_bench_discounted,1.0,False,2026,,,,drafted,no_data,,off_chart,0.8012907694371005,13.0,False,False,,4.461538461538462,0.4299703084229174,0.0,1.1916631955731238,Carson Beck
