season,week,gsis_id,player_name,position,team,is_rookie,attempts,completions,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fantasy_points,floor,ceiling,pred_target_share,pred_carry_share,pred_dropback_share,depth_rank,is_out,is_doubtful,is_questionable,play_prob,injury_status,projected_games_estimate,pred_rookie_fp_pg,games_played_prior,veteran_weight,fantasy_points_veteran
2026,1,00-0041272,Ja'Mori Maclin,WR,BUF,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6500894257475627,0.4256799200776329,5.472052686518498,0.035470832339708346,1.6884112178390487,0.5027010350713159,9.08841121783905,0.021285777016224805,0.0205772724,0.0,6.0,false,false,false,1.0,,15.0,3.694198381726395,0.0,0.7996,1.1857101827677328
2026,1,00-0040934,Jordan Hudson,WR,DAL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6676219628962845,0.4332449044246832,5.603338157355565,0.038362014812864005,1.681626251215767,0.4578754421783431,9.081626251215768,0.018829512481623508,0.0205772724,0.0,6.0,false,false,false,1.0,,15.0,3.5085584047377383,0.0,0.7996,1.2237508090374238
2026,1,00-0040570,Jeremiah Webb,WR,NE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9505666382274377,0.6208688643473437,8.144526258360994,0.04062863241811041,1.6790932846921058,0.0,9.079093284692107,0.030450799140352938,0.024922144799999997,0.0,,false,false,false,1.0,,12.0,,,1.0,1.6790932846921058
2026,1,00-0040986,Ty Pezza,WR,BAL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6594816044919269,0.43229571079959384,5.809289435958103,0.041290381307252835,1.6788319801168394,0.4178650378779183,9.07883198011684,0.02140615669905045,0.020200319999999997,0.0,5.0,false,false,false,1.0,,15.0,3.3502921316285135,0.0,0.8,1.2609669422389211
2026,1,00-0040930,Camden Brown,WR,DAL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6782511095935216,0.4397610198707038,5.730485103766147,0.039003603683384444,1.671659293215827,0.424828140868202,9.071659293215827,0.01912929538501449,0.0205772724,0.0,6.0,false,false,false,1.0,,15.0,3.366732054883563,0.0,0.7996,1.246831152347625
2026,1,00-0040237,Tez Johnson,WR,TB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9577080369374532,0.6340821288291703,7.423832830176954,0.04907805141398819,1.6709337203307948,0.0,9.070933720330796,0.02766032368826897,0.005828470201087168,0.0,5.0,false,false,false,1.0,,15.0,,,1.0,1.6709337203307948
2026,1,00-0041179,Chris Hilton Jr.,WR,GB,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632929709869662,0.3985254502992153,4.901797283894744,0.03021615622383648,1.6671559396569124,0.5971538236252039,9.067155939656914,0.020105250385909854,0.0205772724,0.0,6.0,false,false,false,1.0,,15.0,4.049811615159472,0.0,0.7996,1.0700021160317086
2026,1,00-0041176,Jaden Bradley,WR,WAS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5996631144337651,0.38507302647338937,4.61710103116715,0.0272382671945054,1.664874540622574,0.6546618078654372,9.064874540622576,0.019385355851439294,0.0205772724,0.0,6.0,false,false,false,1.0,,15.0,4.276988221107621,0.0,0.7996,1.0102127327571369
2026,1,00-0034407,Ray-Ray McCloud,WR,CHI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985563518599031,0.7121113697129611,6.425622849212349,0.05113925445497346,1.6615091813640368,0.0,9.061509181364038,0.029644714607159672,0.0,0.0,,false,false,false,1.0,Injured Reserve,12.0,,,1.0,1.6615091813640368
2026,1,00-0036271,Quez Watkins,WR,PHI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9378839546796969,0.602446081946408,7.348468059555929,0.05262739218172797,1.6530572409923687,0.0,9.05305724099237,0.0291945441769194,0.0021705727467768833,0.0,6.0,false,false,false,1.0,,7.75,,,1.0,1.6530572409923687
